objectID,name,dominantColor,gender,image
910777690387,ECCO PINCH LARGE PEBBLED,Beige,Genderless,https://p3.aprimocdn.net/ecco/b213cdb0-ee49-4665-810a-b0ad00b10b01/9107776-90387-m_eCom.png
52527452562,ECCO GRUUV,Black,Male,https://p3.aprimocdn.net/ecco/0f0690ee-030c-4105-906f-b0c70114c914/525274-52562-o_eCom.png
52522401001,ECCO GRUUV,Black,Male,https://p3.aprimocdn.net/ecco/4d47a0db-b86c-4447-93ed-b0690125bd1c/525224-01001-o_eCom.png
45046351052,ECCO SOFT 7 TRED,Black,Female,https://p3.aprimocdn.net/ecco/b69fe6ed-2052-454c-aeeb-b03e0104ece6/450463-51052-o_eCom.png
21823301378,ECCO GRUUV,Beige,Female,https://p3.aprimocdn.net/ecco/05207781-8b15-42c6-b02d-b02300e4c2ba/218233-01378-o_eCom.png
21823301001,ECCO GRUUV,Black,Female,https://p3.aprimocdn.net/ecco/07550890-7c57-4f41-9f7f-b0540082af30/218233-01001-o_eCom.png
85680451052,ECCO STREET ACE,Black,Male,https://p3.aprimocdn.net/ecco/72b5aa60-aa70-4b21-9436-b16800779b7e/856804-51052-o_eCom.png
83693401053,ECCO ST.1 HYBRID,Brown,Male,https://p3.aprimocdn.net/ecco/6310ca61-3c13-475c-aa04-b0a000df2587/836934-01053-o_eCom.png
83693401001,ECCO ST.1 HYBRID,Black,Male,https://p3.aprimocdn.net/ecco/ee278bbc-9eb0-4223-807f-b0a000df154b/836934-01001-o_eCom.png
82242351502,ECCO OFFROAD,Purple,Female,https://p3.aprimocdn.net/ecco/63efca3e-1277-4b79-98f7-b0c1010bee7f/822423-51502-o_eCom.png
82240401482,ECCO OFFROAD,Brown,Male,https://p3.aprimocdn.net/ecco/6afe5787-a41a-4f79-9462-b0be0107e805/822404-01482-o_eCom.png
55024401001,ECCO METROPOLE OSLO,Black,Male,https://p3.aprimocdn.net/ecco/1fef0007-cd19-4baf-abe1-b0c10026eb2f/550244-01001-o_eCom.png
910776490000,ECCO WEEBLE CHAIN,Black,Genderless,https://p3.aprimocdn.net/ecco/d30943b3-7133-4636-8494-b0af009b8494/9107764-90000-m_eCom.png
83079401053,ECCO BIOM 2.2,Brown,Male,https://p3.aprimocdn.net/ecco/717d69b1-b909-488a-a3bf-b0a500f6e002/830794-01053-o_eCom.png
